lat0,lon0,tmin_C__after_2000,tmin_C__before_2000,tmax_C__after_2000,tmax_C__before_2000,vpd__after_2000,vpd__before_2000,duration__after_2000,duration__before_2000,intensity__after_2000,intensity__before_2000,frequency__after_2000,frequency__before_2000,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-25.75,28.5,11.504960136909013,10.77285359700523,30.956550935026907,30.26808776855471,0.9146222351961057,0.861994841767538,4.08,3.4642857142857144,0.7790467257683094,0.6402889043092728,0.49333333333333335,0.26666666666666666,0.732106539903782,0.6884631664721965,0.052627393428567704,0.6157142857142857,0.1387578214590366,0.22666666666666668
-25.75,28.75,11.325879025149678,10.547380320231143,30.897335339831088,30.20087610880536,0.8968704914805554,0.8468238880298578,4.017857142857143,3.375,0.6857324260576018,0.5357828013160649,0.52,0.3,0.778498704918535,0.6964592310257274,0.05004660345069767,0.6428571428571432,0.14994962474153684,0.22000000000000003
-25.75,29.0,11.121738225763517,10.265456390380882,30.75065319507155,29.92112706502281,0.8574142101437214,0.799953066756249,4.074074074074074,3.4285714285714284,0.7032346933015755,0.5346517125765483,0.48,0.26666666666666666,0.8562818353826351,0.8295261300487411,0.057461143387472435,0.645502645502646,0.1685829807250272,0.21333333333333332
-25.75,29.25,10.90830541833657,10.023476409912131,30.385294569932043,29.45060017903648,0.8279005978626869,0.7635620319176548,4.055555555555555,3.4375,0.6404062581283075,0.5434346207801033,0.4666666666666667,0.26666666666666666,0.8848290084244379,0.9346943908955616,0.06433856594503207,0.6180555555555554,0.09697163734820424,0.2
-25.75,29.5,10.676755672306232,9.78775558471682,29.972051883053492,28.969258880615257,0.7917029322842918,0.7214133106786591,4.142857142857143,3.3846153846153846,0.6245136048112597,0.4752385137336595,0.48,0.21666666666666667,0.8890000875894124,1.002793002438235,0.07028962160563268,0.7582417582417587,0.14927509107760023,0.2633333333333333
-25.75,29.75,9.833160440023866,9.00173772176109,29.15583765599637,28.22695032755536,0.7233450830727732,0.6613245871953404,4.06,3.3333333333333335,0.5768212486918156,0.3654083083073298,0.44,0.2833333333333333,0.8314227182627754,0.9288873284410073,0.06202049587743286,0.7266666666666661,0.21141294038448583,0.15666666666666668
-25.5,28.25,13.490768274084338,12.888299051920596,33.87616882324221,33.47859725952151,1.1878832465384537,1.156664320689467,3.75,3.4642857142857144,0.8410239410400391,0.6192605684200923,0.4533333333333333,0.25,0.6024692221637427,0.3975715637207031,0.031218925848986778,0.2857142857142856,0.22176337261994683,0.2033333333333333
-25.5,28.5,13.04888682179639,12.397617085774762,33.43506774902346,33.00217132568362,1.1433255930655861,1.1141577268575218,3.8260869565217392,3.730769230769231,0.8691104439397653,0.7662172903617223,0.44,0.23333333333333334,0.6512697360216286,0.4328964233398409,0.02916786620806433,0.09531772575250841,0.10289315357804307,0.20666666666666667
-25.5,28.75,12.181257807744036,11.51998494466148,32.17271684919087,31.754140472412132,1.01288928946811,0.9862161469816718,4.36,3.65625,0.7400239671652133,0.6627479002756231,0.44,0.2833333333333333,0.6612728630825551,0.4185763767787378,0.02667314248643826,0.7037500000000003,0.07727606688959021,0.15666666666666668
-25.25,26.75,14.583377431894302,13.805063883463564,34.66751280945619,34.1837237040202,1.4226964240133264,1.339923309569723,3.92,3.357142857142857,0.7747392751849614,0.6182179709275564,0.44,0.2833333333333333,0.778313548430738,0.48378910543598863,0.08277311444360347,0.5628571428571427,0.15652130425740507,0.15666666666666668
-25.25,45.5,19.702588802189045,19.142364247639996,36.53693542480471,35.65517807006838,1.084405616030318,0.9944890576594038,4.464285714285714,4.3,0.5557093877216865,0.48895431409279505,0.44,0.2833333333333333,0.5602245545490483,0.8817573547363295,0.08991655837091417,0.1642857142857146,0.06675507362889149,0.15666666666666668
-25.25,45.75,20.11439914455664,19.456680806477888,34.67000712605268,34.18866144816083,0.980464839935518,0.9145171084042872,4.571428571428571,3.6842105263157894,0.5126224890351295,0.4835481290754519,0.49333333333333335,0.38333333333333336,0.6577183380787517,0.4813456778918521,0.06594773153123079,0.8872180451127818,0.02907435995967761,0.10999999999999999
-25.0,26.25,13.495592231255094,12.552695973714215,36.45613974038659,35.49943695068362,1.7534234104127937,1.5213338409495674,3.68,3.2142857142857144,0.7837455954689246,0.6880325557930129,0.4266666666666667,0.25,0.9428962575408786,0.9567027897029732,0.23208956946322634,0.46571428571428575,0.09571303967591172,0.1766666666666667
-25.0,26.5,13.803611101423012,12.878412628173852,36.67935462059915,35.70936864217125,1.7776581567502667,1.5543285692422004,3.685185185185185,3.2916666666666665,0.8063019130911145,0.6866754827400049,0.4666666666666667,0.23333333333333334,0.9251984732491607,0.9699859784278999,0.2233295875080663,0.3935185185185186,0.11962643035110965,0.23333333333333334
-25.0,26.75,13.616642384714917,12.719613138834658,36.349799852247386,35.43554636637372,1.746301652265764,1.5424941731074553,3.625,3.269230769230769,0.7821751316388448,0.755243066411752,0.44,0.25,0.8970292458802582,0.9142534858736653,0.20380747915830866,0.35576923076923084,0.026932065227092794,0.19
-25.0,27.0,13.606778073001239,12.866050211588565,36.32426694399353,35.5383852640788,1.6518132146086368,1.463807079840072,3.5961538461538463,3.1923076923076925,0.8629041817681543,0.692059154693897,0.4666666666666667,0.26666666666666666,0.7407278614126742,0.7858816799147306,0.18800613476856487,0.40384615384615374,0.1708450270742573,0.2
-25.0,27.25,15.28371661297689,14.57631785074872,35.3203517765194,35.2656936645508,1.4583162859788132,1.441603176270464,3.761904761904762,3.3214285714285716,0.8299346031702083,0.7505281399935484,0.4,0.31666666666666665,0.7073987622281699,0.0546581119685996,0.016713109708349272,0.44047619047619024,0.07940646317665989,0.08333333333333337
-25.0,27.5,15.27799000925834,14.636126200358095,35.54146926681719,35.46776453653974,1.4568035710997898,1.4373826353369485,3.727272727272727,3.576923076923077,0.7403210668514172,0.6734531794985136,0.37333333333333335,0.25,0.6418638089002453,0.0737047302774485,0.019420935762841207,0.15034965034964998,0.06686788735290361,0.12333333333333335
-25.0,44.5,19.208161034522142,18.563305664062522,36.66525867016286,35.688699849446635,1.1971626270358882,1.0950721335217368,4.021739130434782,3.6923076923076925,0.78536415224274,0.7753954231739044,0.37333333333333335,0.21666666666666667,0.64485537045962,0.9765588207162281,0.10209049351415134,0.32943143812708975,0.009968729068835613,0.15666666666666668
-25.0,45.25,18.66008019385402,17.939456176757837,37.49817849691814,36.53757756551109,1.25308425774051,1.14200517000993,3.9375,3.642857142857143,0.6408515453804284,0.6219573893717357,0.52,0.2833333333333333,0.7206240170961848,0.9606009314070505,0.11107908773057984,0.2946428571428572,0.01889415600869271,0.2366666666666667
-25.0,45.5,18.444055968445642,17.793686930338563,37.67755765047942,36.67935663859052,1.246999523275606,1.1343193544973234,4.155172413793103,3.857142857142857,0.6591168411076069,0.6156324595212936,0.44,0.2833333333333333,0.6503690381070797,0.9982010118889022,0.11268016877828257,0.298029556650246,0.04348438158631329,0.15666666666666668
-25.0,46.0,19.075306523310697,18.388768005371116,37.66833440607247,36.76871388753258,1.2361285143938192,1.1381530003291835,4.483333333333333,4.033333333333333,0.6050825119018555,0.5134836296240489,0.4666666666666667,0.3,0.6865385179395815,0.8996205185398907,0.09797551406463567,0.4500000000000002,0.09159888227780655,0.16666666666666669
-25.0,46.25,18.811258925400796,18.30313415527346,37.52572160200641,36.39813105265302,1.2027779000909467,1.1028999947005793,4.326923076923077,4.0625,0.5905231674169672,0.4603854762390256,0.4266666666666667,0.3333333333333333,0.5081247701273348,1.1275905493533926,0.09987790539036734,0.26442307692307665,0.1301376911779416,0.09333333333333338
