lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-21,35,0.294276828,0.539871715,0.051237461,0.691666667,0.007457307,0.283333333
-21,46.75,0.385545286,1.152204238,0.072956531,0.471264368,0.002097346,0.06
-20.75,31.75,0.450484922,0.528343012,0.077274052,0.023809524,0.046704537,0.03
-20.75,34.75,0.4810288,0.729188871,0.059056027,1.293846154,0.047478415,0.163333333
-20.75,45,0.634832698,1.207907973,0.211552927,0.938461538,0.143393289,0.266666667
-20.75,46.5,0.674489247,1.26054448,0.102514855,0.07797271,0.078496773,0.113333333
-20.75,47.25,0.362859275,0.939716874,0.043450043,0.485221675,0.01184915,0.12
-20.5,44.5,0.516441798,1.066168583,0.171744569,0.746503497,0.228529565,0.35
-20.5,44.75,0.566573799,1.226246567,0.204766792,0.833333333,0.148983545,0.33
-20.5,45,0.593913715,1.276613257,0.218261862,0.65,0.166587134,0.356666667
-20.5,46.25,0.562777475,1.236246282,0.113972937,0.623188406,0.116377439,0.096666667
-20.5,46.5,0.529830999,1.145721066,0.083925794,0.574786325,0.072549828,0.04
-20.5,47.25,0.499859305,1.023819132,0.0588488,0.513736264,0.010069633,0.093333333
-20.5,47.5,0.517722238,0.890010764,0.048706594,0.50310559,0.034358918,0.11
-20.25,44.5,0.609354384,0.946201377,0.151978988,0.506912442,0.224276408,0.55
-20.25,44.75,0.535123447,1.189546597,0.194593925,0.79375,0.108216134,0.443333333
-20.25,45,0.534832361,1.356465212,0.210089679,0.561583578,0.154893591,0.396666667
-20.25,45.5,0.5638078,1.10384068,0.204908956,0.528846154,0.142309468,0.23
-20.25,46.5,0.467666286,1.150624392,0.102754005,0.552696078,0.121281749,0.06
-20.25,46.75,0.622785302,1.183339823,0.09146577,0.557843137,0.009213369,0.026666667
-20.25,47.25,0.590608463,1.099113256,0.071295168,0.566666667,0.015460168,0.066666667
-20.25,47.5,0.494005083,0.931550829,0.055027965,0.697916667,0.052247535,0.043333333
-20.25,47.75,0.642860561,0.968841873,0.051581593,0.134615385,0.00196654,0.16
-20,32,0.664821998,0.302612486,0.055256814,0.323529412,0.06555852,0
-20,44.75,0.56448933,1.091116511,0.169484041,0.395833333,0.119715473,0.49
-20,45,0.369163312,1.293611568,0.190676919,0.498207885,0.09269602,0.473333333
-20,45.25,0.429056658,1.292358782,0.199000399,0.154220779,0.154279071,0.356666667
-20,45.5,0.584983509,1.104550402,0.201138181,0.242424242,0.100975461,0.366666667
-20,46,0.715446608,1.360660441,0.176459875,0.44984326,0.045543396,0.236666667
-20,46.5,0.685320272,1.169046638,0.102760332,0.020460358,0.105208654,0.1
-20,46.75,0.59456436,1.137290337,0.078620006,0.295066414,0.016373982,0.106666667
-20,47,0.723514639,1.191398482,0.084938823,0.798076923,0.016636117,0.04
-20,47.25,0.747207761,1.163317432,0.072014046,0.700892857,0.029687982,0.056666667
-20,47.5,0.719947719,0.972753754,0.053893143,0.261029412,0.062925028,0.023333333
-20,47.75,0.664140376,0.83175466,0.054333017,0.43956044,0.037569131,0.143333333
-19.75,32.75,0.349101033,0.431087986,0.049488255,0.186234818,0.078177966,0.043333333
-19.75,44.5,0.568899605,0.676864489,0.107509586,0.683333333,0.090180374,0.476666667
-19.75,44.75,0.526434891,0.930341633,0.147817951,0.588095238,0.103152389,0.483333333
-19.75,45,0.369931595,1.243218182,0.180427928,0.201515152,0.114996827,0.4
-19.75,45.5,0.616393713,1.179901021,0.197741607,0.96969697,0.055037601,0.34
-19.75,46.75,0.631098403,1.191649856,0.092087839,0.378571429,0.082783003,0.123333333
-19.75,47,0.580307489,1.239164182,0.08093871,0.802222222,0.078850649,0
-19.75,47.25,0.760752595,1.208726383,0.072724907,0.532051282,0.034218226,0.016666667
-19.5,31.75,0.42956214,0.340593194,0.06294323,0.053333333,0.093195702,0.003333333
-19.5,32.75,0.370927442,0.638011493,0.065021502,0.268518519,0.112655154,0.11
-19.5,33.75,0.312677065,0.878476702,0.098375547,0.169230769,0.086607454,0.223333333
-19.5,44.75,0.464010438,0.882377671,0.113806262,0.663793103,0.0878595,0.48
-19.5,45.25,0.483378043,1.182071441,0.157882127,0.707070707,0.044094603,0.426666667
-19.5,45.5,0.539597525,1.171603113,0.1690552,1.190322581,0.060061933,0.356666667
-19.5,46,0.515430952,1.194417664,0.13998821,0.949300699,0.069074491,0.206666667
-19.5,46.75,0.590453864,1.158844625,0.08518049,0.425925926,0.08391998,0.103333333
-19.5,47,0.448519177,1.121791658,0.069034699,0.664285714,0.047655825,0.11
-19.5,47.25,0.554774056,1.157752733,0.063915587,0.211500975,0.016799164,0.03
-19.5,47.75,0.601772216,0.856079184,0.05100239,0.391666667,0.013929134,0.1
-19.25,31.5,0.376653798,0.424490238,0.059489837,0.56875,0.032750936,0.033333333
-19.25,32.75,0.384423788,0.713164434,0.076364232,0.39375,0.119883809,0.156666667
-19.25,33,0.277971626,0.760569773,0.081356723,0.140350877,0.107451868,0.13
-19.25,44.75,0.518854675,0.982060242,0.127778924,0.833333333,0.069930766,0.49
-19.25,45,0.493620403,1.170136182,0.144918845,0.078125,0.085499623,0.456666667
-19.25,45.25,0.503977692,1.08744093,0.143791685,0.778125,0.066573641,0.4
-19.25,45.5,0.551649591,1.146369561,0.126802592,0.822192513,0.090597524,0.296666667
-19.25,47.5,0.534427993,1.237463283,0.078197153,0.088888889,0.018057662,0.14
-19,32.25,0.417951124,0.621049558,0.083063429,0.027058824,0.07116328,0.04
-19,32.5,0.31575974,0.576373542,0.068623913,0.049019608,0.105888984,0.08
